latitude,longitude,area,azimuth
50.753397,5.538423,16.31,156.5
50.753549,5.538485,43.65,173.09
50.753727,5.539819,18.21,154.8
50.753383,5.541513,22.66,162.86
50.753482,5.545673,13.32,156.32
50.753804,5.546789,18.16,155.85
50.753279,5.547854,31.04,144.73
50.753398,5.547888,20.19,183.69
50.753335,5.566024,31.32,192.38
50.75348,5.566351,13.6,186.51
50.75328,5.567296,13.47,174.75
50.75338,5.566636,18.24,183.95
50.753468,5.56748,14.87,197.26
50.753113,5.570375,12.09,180.0
50.75333,5.569642,15.45,180.0
50.753517,5.571226,25.41,191.04
50.753568,5.570666,14.75,181.58
50.753221,5.572223,49.9,193.01
50.753368,5.572173,12.99,193.16
50.753429,5.577464,17.62,197.74
50.753423,5.577409,18.4,199.13
50.752712,5.611732,15.23,180.0
50.752129,5.6604,97.91,181.71
50.752318,5.672606,12.31,180.0
50.752456,5.672907,14.18,182.71
50.752367,5.673141,14.44,180.0
50.751851,5.688603,19.1,199.8
50.748962,5.922216,294.26,147.44
50.748941,5.936172,21.15,189.85
50.748815,5.950819,12.14,214.95
50.748536,5.969878,62.39,137.31
50.748613,5.974892,80.07,160.08
50.74834,6.001155,43.06,214.05
50.748035,6.00345,15.22,209.6
50.748062,6.003238,10.76,198.26
50.753198,5.534705,16.2,180.0
50.752811,5.535677,28.43,183.25
50.752808,5.538311,26.2,168.42
50.752798,5.539599,24.58,160.1
50.752873,5.542487,17.46,166.37
50.752875,5.543931,23.74,158.2
50.752898,5.549076,14.82,162.26
50.752661,5.550838,45.72,223.58
50.752694,5.550845,36.99,222.97
50.752546,5.561316,16.88,222.51
50.752799,5.562646,13.15,185.25
50.752524,5.572474,34.76,193.85
50.752785,5.579715,48.39,147.94
50.752701,5.585523,30.3,193.03
50.752278,5.587312,20.45,188.34
50.752574,5.590731,10.19,180.0
50.752182,5.594764,42.23,190.47
50.752412,5.596224,40.69,197.74
50.752566,5.597259,11.34,201.11
50.752603,5.596672,82.58,203.24
50.752561,5.597313,21.99,180.0
50.751964,5.649373,14.9,211.55
50.751679,5.678179,18.18,176.93
50.748776,5.922046,112.72,147.38
50.748506,5.932551,12.68,193.32
50.748632,5.935579,14.54,186.17
50.747688,5.967868,11.93,208.02
50.747528,6.000547,10.02,214.95
50.747271,6.01039,12.18,155.97
50.752501,5.53758,39.3,161.57
50.752323,5.544739,32.59,180.0
50.752341,5.544982,12.48,166.97
50.75204,5.546938,14.99,171.18
50.752005,5.557882,13.84,180.0
50.752012,5.557964,30.97,180.0
50.752002,5.558153,38.06,196.16
50.752358,5.560724,48.48,191.49
50.752387,5.561376,50.72,185.56
50.752217,5.570263,21.8,193.59
50.751915,5.57143,11.22,220.38
50.751905,5.572702,21.97,193.59
50.752065,5.57264,19.51,198.43
50.752231,5.572579,24.31,194.08
50.752103,5.58726,30.49,160.07
50.751817,5.611412,16.28,194.17
50.750896,5.66892,19.02,154.8
50.747598,5.967754,16.48,176.73
50.746889,5.990388,22.32,158.5
50.746717,5.994293,30.09,221.06
50.746901,5.994829,33.07,209.36
50.746807,5.996204,92.59,144.85
50.74673,5.997517,47.44,218.66
50.746715,5.997657,60.17,218.34
50.746993,5.998141,35.76,208.71
50.746974,5.999147,26.17,209.36
50.751534,5.537535,30.98,172.23
50.751934,5.537659,14.74,163.51
50.75181,5.538628,25.24,148.59
50.751881,5.538735,14.86,145.52
50.751387,5.550567,52.67,180.0
50.751443,5.550322,144.92,156.13
50.751753,5.550536,62.54,154.8
50.751803,5.551594,45.22,185.3
50.751619,5.568357,10.23,213.16
50.751216,5.568854,10.67,154.8
50.751667,5.570619,127.36,185.24
50.751717,5.570842,10.18,183.95
50.751453,5.571691,25.66,180.0
50.751433,5.572869,72.95,193.11
50.751128,5.577844,23.34,184.69
50.751271,5.578702,17.83,180.0
50.750529,5.65461,18.1,159.23
50.750361,5.655504,10.14,180.0
50.750222,5.660726,38.84,161.78
50.750258,5.660791,34.29,161.88
50.750107,5.671715,13.39,176.31
50.750037,5.675083,10.91,180.0
50.750332,5.685134,34.13,176.53
50.750352,5.694009,13.43,180.0
50.749333,5.742694,10.41,159.25
50.74977,5.743009,26.44,157.45
50.747569,5.903952,156.39,220.15
50.746472,5.993066,21.59,148.85
50.74627,5.993852,28.02,214.72
50.7466,5.994469,31.56,224.5
50.746457,5.995973,17.69,139.12
50.746066,5.996798,21.98,200.28
50.746362,5.997161,46.2,195.4
50.751005,5.529246,38.74,154.8
50.751042,5.529169,13.88,153.43
50.751025,5.530311,24.45,180.0
50.7514,5.530161,25.72,170.95
50.750993,5.533659,11.06,180.0
50.750988,5.540716,31.84,164.93
50.750976,5.545334,14.51,144.06
50.75135,5.54557,39.3,209.36
50.750807,5.548195,31.65,158.04
50.750858,5.549795,11.87,170.97
50.751005,5.550012,183.18,159.78
50.751214,5.550109,206.41,155.78
50.751023,5.550368,71.45,155.71
50.751209,5.550464,343.15,155.31
50.751294,5.550274,64.42,180.0
50.750701,5.564918,18.32,185.82
50.75061,5.568795,67.6,198.2
50.750593,5.570115,16.85,199.53
50.750885,5.572842,65.03,192.93
50.750776,5.579786,10.17,169.26
50.750811,5.579789,10.95,180.0
50.750848,5.581511,13.31,190.58
50.750802,5.582062,67.75,187.85
50.750478,5.590144,12.73,192.94
50.750192,5.654303,55.58,144.64
50.749781,5.655601,10.29,201.96
50.750086,5.655479,31.07,184.1
50.749691,5.671287,14.5,141.59
50.749601,5.673699,46.23,191.2
50.749702,5.674364,45.51,177.08
50.749442,5.67805,11.77,203.89
50.749705,5.67885,27.91,154.41
50.749762,5.693276,15.68,180.0
50.74884,5.729688,15.26,180.0
50.748909,5.741685,28.64,144.25
50.748672,5.74392,23.36,225.0
50.748708,5.74402,11.51,225.0
50.748673,5.744124,61.24,137.44
50.748701,5.744205,121.68,137.15
50.746257,5.965546,11.23,180.0
50.745667,5.989602,24.97,142.83
50.745629,5.991317,16.99,156.25
50.745921,5.994257,13.66,225.0
50.745998,5.993665,22.79,147.38
